"","tpv","tpr","fpr","tnr","fnr","ppv","fdr","npv","fors","L.diag","L.pred","L.all","L.eq.diag"
"1",0.04,1,1,0,0,0.5,0.5,NA,NA,0.5,0.5,0.5,1
"2",0.041,1,0.773584905660377,0.226415094339623,0,0.563829787234043,0.436170212765957,1,0,0.386792452830189,0.218085106382979,0.302438779606584,0.773584905660377
"3",0.042,0.981132075471698,0.69811320754717,0.30188679245283,0.0188679245283019,0.584269662921348,0.415730337078652,0.941176470588235,0.0588235294117647,0.358490566037736,0.237276933245208,0.297883749641472,0.679245283018868
"4",0.045,0.981132075471698,0.660377358490566,0.339622641509434,0.0188679245283019,0.597701149425287,0.402298850574713,0.947368421052632,0.0526315789473684,0.339622641509434,0.227465214761041,0.283543928135237,0.641509433962264
"5",0.046,0.962264150943396,0.641509433962264,0.358490566037736,0.0377358490566038,0.6,0.4,0.904761904761905,0.0952380952380952,0.339622641509434,0.247619047619048,0.293620844564241,0.60377358490566
"6",0.067,0.962264150943396,0.622641509433962,0.377358490566038,0.0377358490566038,0.607142857142857,0.392857142857143,0.909090909090909,0.0909090909090909,0.330188679245283,0.241883116883117,0.2860358980642,0.584905660377358
"7",0.069,0.962264150943396,0.60377358490566,0.39622641509434,0.0377358490566038,0.614457831325301,0.385542168674699,0.91304347826087,0.0869565217391304,0.320754716981132,0.236249345206915,0.278502031094023,0.566037735849057
"8",0.077,0.962264150943396,0.584905660377358,0.415094339622642,0.0377358490566038,0.621951219512195,0.378048780487805,0.916666666666667,0.0833333333333333,0.311320754716981,0.230691056910569,0.271005905813775,0.547169811320755
"9",0.095,0.962264150943396,0.566037735849057,0.433962264150943,0.0377358490566038,0.62962962962963,0.37037037037037,0.92,0.08,0.30188679245283,0.225185185185185,0.263535988819008,0.528301886792453
"10",0.096,0.962264150943396,0.547169811320755,0.452830188679245,0.0377358490566038,0.6375,0.3625,0.923076923076923,0.0769230769230769,0.292452830188679,0.219711538461538,0.256082184325109,0.509433962264151
"11",0.104,0.943396226415094,0.547169811320755,0.452830188679245,0.0566037735849057,0.632911392405063,0.367088607594937,0.888888888888889,0.111111111111111,0.30188679245283,0.239099859353024,0.270493325902927,0.490566037735849
"12",0.111,0.943396226415094,0.528301886792453,0.471698113207547,0.0566037735849057,0.641025641025641,0.358974358974359,0.892857142857143,0.107142857142857,0.292452830188679,0.233058608058608,0.262755719123644,0.471698113207547
"13",0.124,0.943396226415094,0.509433962264151,0.490566037735849,0.0566037735849057,0.649350649350649,0.350649350649351,0.896551724137931,0.103448275862069,0.283018867924528,0.22704881325571,0.255033840590119,0.452830188679245
"14",0.165,0.943396226415094,0.490566037735849,0.509433962264151,0.0566037735849057,0.657894736842105,0.342105263157895,0.9,0.1,0.273584905660377,0.221052631578947,0.247318768619662,0.433962264150943
"15",0.179,0.943396226415094,0.471698113207547,0.528301886792453,0.0566037735849057,0.666666666666667,0.333333333333333,0.903225806451613,0.0967741935483871,0.264150943396226,0.21505376344086,0.239602353418543,0.415094339622642
"16",0.193,0.943396226415094,0.452830188679245,0.547169811320755,0.0566037735849057,0.675675675675676,0.324324324324324,0.90625,0.09375,0.254716981132075,0.209037162162162,0.231877071647119,0.39622641509434
"17",0.198,0.943396226415094,0.433962264150943,0.566037735849057,0.0566037735849057,0.684931506849315,0.315068493150685,0.909090909090909,0.0909090909090909,0.245283018867925,0.202988792029888,0.224135905448906,0.377358490566038
"18",0.201,0.943396226415094,0.415094339622642,0.584905660377358,0.0566037735849057,0.694444444444444,0.305555555555556,0.911764705882353,0.0882352941176471,0.235849056603774,0.196895424836601,0.216372240720187,0.358490566037736
"19",0.305,0.943396226415094,0.39622641509434,0.60377358490566,0.0566037735849057,0.704225352112676,0.295774647887324,0.914285714285714,0.0857142857142857,0.226415094339623,0.190744466800805,0.208579780570214,0.339622641509434
